HCMtranscript no.	"Accession no (human,chimp,mouse)"	LocusLink ID	gene symbol	Panther Molecular function	Panther Biological Process	P-value model 1 (dN/dS) human (two-sided)	P-value model 1 (dN/dS) chimp (two-sided)	"P-value model 1 (dN/dS) human (one-sided, test for pos selection)"	"P-value model 1 (dN/dS) chimp (one-sided, test for pos selection)"	dS_human	dN_human	dN/dS human	dS_chimp	dN_chimp	dN/dS chimp	% GC	% ALU	% MIR	% SINEs	% L1	% L2	% LINEs	% MaLR	% ERVL	% ERV1	% ERVK	% LTR elements	% MER1	% MER2	% DNA Elements	% Mariner	% T2	% Tc2	% Low Complexity	% Satellite	% Simple	% Unknown	% rRNA	% scRNA	% snRNA	% tRNA	% RNA elements	Model 2 (M2) p-value human	Model 2 (M2) p-value chimp	M2_LR	M2_L_3	M2_Mu_3	M2_p0_3	M2_p1_3	M2_L_2	M2_Mu_2	M2_P0_2	local cM/Mb (from Kong et al.)	Chromosome (Chr)	Gene Start on Chr
HCM6299	"AY417663,AY417664,AY417665"	1428	CRYM	Other lyase->Lyase	Amino acid biosynthesis->Amino acid metabolism	6.43E-02	4.74E-01	6.43E-02	1.00E+00	3.15E-06	4.71E-05	1.50E+01	6.84E-03	6.84E-07	1.00E-04	42	17.17	3.21	20.38	13.52	3.14	16.66	3.79	1.04	5.39	0	10.22	2.53	0.63	3.16	0.05	0	0	0.48	0	0.76	0	0	0	0	0	0	1.00E+00	1.00E+00	-3.51E-03	-842.1182	4.84E-01	9.98E+02	3.55E+02	-842.1147	4.85E-01	2.93E+00	0.79	16	25727750
HCM4896	"AY413454,AY413455,AY413456"	51335		Molecular function unclassified	Biological process unclassified	6.84E-02	1.84E-02	6.84E-02	1.00E+00	1.30E-04	1.09E-02	8.38E+01	1.45E-02	1.45E-06	1.00E-04	47	24.82	1.76	26.58	2.23	1.28	3.51	0.53	0.58	0.32	0	1.43	0.3	0	0.3	0	0	0	0.22	0	1.08	0	0	0	0	0	0	4.53E-02	1.00E+00	1.43E+00	-1095.729	1.01E+00	1.00E-04	1.52E-04	-1097.16	1.00E+00	6.05E-01	1.23	15	71408187
HCM3496	"AY409254,AY409255,AY409256"	5639	PRRG2	Molecular function unclassified	Biological process unclassified	6.85E-02	6.24E-02	6.85E-02	1.00E+00	9.83E-05	1.48E-02	1.51E+02	9.21E-03	9.21E-07	1.00E-04	53	28.71	2.51	31.22	2.21	1.35	3.56	0.39	0	0.63	0	1.02	1.34	0	1.34	0	0	0	1.27	1.12	0.83	0	0	0.09	0	0	0.09	6.59E-03	3.88E-01	3.07E+00	-792.4146	1.00E+00	2.57E-04	1.00E-04	-795.4875	9.83E-01	2.01E+00	3.1	19	47735529
HCM5980	"AY416706,AY416707,AY416708"	10905	MAN1A2	Glycosidase->Hydrolase	Protein glycosylation->Protein modification->Protein metabolism and modification	6.99E-02	4.81E-01	6.99E-02	1.00E+00	9.79E-05	6.35E-03	6.49E+01	1.30E-04	1.30E-08	1.00E-04	35	4.84	0.73	5.57	27.77	5.04	32.81	1.89	1.41	1.08	0	4.38	0.88	4.04	4.92	0	0	0	0.7	0	0.35	0	0	0	0	0	0	2.01E-04	2.55E-01	6.26E+00	-1506.969	6.14E-01	1.15E-03	1.00E-04	-1513.229	6.09E-01	8.27E+00	0.94	1	117366038
HCM5503	"AY415275,AY415276,AY415277"	56751	BARHL1	Homeotic transcription factor->Transcription factor	Biological process unclassified	7.48E-02	5.18E-02	7.48E-02	1.00E+00	3.91E-06	4.01E-05	1.03E+01	3.51E-02	3.51E-06	1.00E-04	50	9.32	4.12	13.44	4.06	1.79	5.85	0.79	0	0.81	0	1.6	0.63	0.22	0.85	0	0	0	0.47	0	0.69	0	0	0	0	0	0	4.27E-01	4.71E-01	1.68E-02	-532.1673	2.99E-01	1.00E+03	1.00E-04	-532.1841	2.99E-01	1.00E+03	1.92	9	108598981
HCM2089	"AY405033,AY405034,AY405035"			Molecular function unclassified	Biological process unclassified	7.70E-02	1.89E-01	7.70E-02	1.00E+00	1.04E-04	1.21E-02	1.16E+02	8.63E-03	1.21E-03	1.40E-01	46	20.11	4.33	24.44	7.88	6.04	13.92	1.44	0	0.88	0.95	3.27	1.73	0.62	2.35	0	0	0	0.72	0	1.14	0	0	0	0	0.04	0.04	1.03E-01	2.16E-02	8.01E-01	-957.2121	1.09E+00	1.00E-04	1.00E-03	-958.0129	1.09E+00	8.19E-02	1.54	9	89447330
HCM2765	"AY407061,AY407062,AY407063"	85445		Extracellular matrix glycoprotein->Extracellular matrix;Other cell adhesion molecule->Cell adhesion molecule	Cell adhesion;Synaptic transmission->Neuronal activities;Cell adhesion-mediated signaling->Cell communication->Signal transduction	7.72E-02	1.35E-02	7.72E-02	1.00E+00	1.02E-04	2.88E-03	2.82E+01	8.96E-03	2.39E-03	2.67E-01	36	5.8	1.91	7.71	12.93	1.48	14.41	2.67	2.36	1.32	0	6.35	1.61	3.95	5.56	0	0	0	0.62	0	0.96	0	0	0	0	0	0	1.54E-04	4.11E-01	6.51E+00	-5514.507	6.53E-01	2.98E-04	1.00E-04	-5521.018	6.51E-01	2.76E+00	1.19	16	66071740
HCM0393	"AY399945,AY399946,AY399947"	7486	WRN	DNA helicase->Helicase->Nucleic acid binding	"DNA replication->Cell cycle;DNA recombination->DNA metabolism->Nucleoside, nucleotide and nucleic acid metabolism;DNA replication->DNA metabolism->Nucleoside, nucleotide and nucleic acid metabolism"	7.88E-02	1.24E-01	7.88E-02	1.00E+00	2.24E-06	2.24E-03	1.00E+03	8.24E-03	4.37E-03	5.30E-01	36	13.61	2.02	15.63	11.42	5.94	17.36	0	0.41	0.43	0	0.84	0.74	3.32	4.06	0.07	0	0	1.02	0	0.62	0	0	0	0.03	0	0.03	2.81E-02	4.65E-01	1.82E+00	-6327.62	9.66E-01	1.67E-04	2.98E-04	-6329.443	9.66E-01	5.43E-01	1.22	8	31029029
HCM6698	"AY418860,AY418861,AY418862"	10539	TXNL2	Reductase->Oxidoreductase	Biological process unclassified	7.94E-02	2.08E-01	7.94E-02	2.08E-01	5.60E-06	5.60E-03	1.00E+03	1.77E-06	1.77E-03	1.00E+03	47	16.07	1.5	17.57	4.04	1.85	5.89	1.63	0.67	2.8	1.03	6.13	0.47	0.28	0.75	0	0	0	0.54	0	1.23	0	0	0	0	0	0	9.46E-04	1.00E+00	4.83E+00	-1334.668	4.62E-01	6.62E-04	1.00E-04	-1339.494	4.58E-01	4.85E+00	3.49	10	132681262
HCM1238	"AY402480,AY402481,AY402482"			Molecular function unclassified	Biological process unclassified	8.04E-02	2.70E-01	8.04E-02	2.70E-01	3.33E-06	3.33E-03	1.00E+03	5.64E-07	5.61E-04	9.95E+02	52	8.68	5.69	14.37	1.91	1.32	3.23	0.78	0	2.16	0	2.94	1.68	0	1.68	0.08	0	0	0	0	0.94	0	0	0	0	0	0	4.89E-04	4.47E-01	5.43E+00	-2908.739	5.86E-01	5.05E-04	1.00E-04	-2914.172	5.82E-01	4.39E+00	1.26	2	47453867
HCM4403	"AY411975,AY411976,AY411977"	3601	IL15RA	Interleukin receptor->Cytokine receptor->Receptor	Cytokine and chemokine mediated signaling pathway->Cell surface receptor mediated signal transduction->Signal transduction	8.13E-02	3.79E-01	8.13E-02	1.00E+00	1.10E-04	1.26E-02	1.15E+02	5.24E-03	3.29E-03	6.28E-01	46	20.84	1.26	22.1	12.04	1.28	13.32	2.19	0.64	2.37	0	5.2	2.18	1.98	4.16	0	0	0	0.4	0	0.77	0	0	0	0	0	0	1.81E-02	1.11E-01	2.20E+00	-1448.471	1.30E+00	1.00E-04	2.30E-04	-1450.666	1.29E+00	3.83E-01	2.09	10	6361689
HCM4419	"AY412023,AY412024,AY412025"	6583	SLC22A4	Molecular function unclassified	Cation transport->Ion transport->Transport	8.17E-02	1.90E-01	8.17E-02	1.90E-01	5.13E-06	5.13E-03	1.00E+03	2.06E-06	2.06E-03	1.00E+03	45	11.55	2.15	13.7	7.94	4.81	12.75	2.62	4.22	2.88	1.03	10.75	1.66	0.65	2.31	0	0	0	0.05	0	0.75	0	0	0	0	0	0	2.58E-02	2.84E-01	1.89E+00	-1535.794	5.52E-01	1.18E-04	1.00E-04	-1537.688	5.49E-01	1.08E+00	0.63	5	134599253
HCM5133	"AY414165,AY414166,AY414167"	427	ASAH1	Other hydrolase->Hydrolase	"Neuronal activities;Lipid, fatty acid and steroid metabolism"	8.39E-02	4.95E-01	8.39E-02	4.95E-01	5.42E-06	5.42E-03	1.00E+03	1.39E-06	4.55E-05	3.27E+01	40	12.24	0.85	13.09	13.65	6.2	19.85	3.72	0.79	2.82	0	7.33	1.51	0.35	1.86	1.18	0	0	0.27	0.06	0.62	0	0	0	0	0	0	1.67E-02	4.94E-01	2.26E+00	-1521.487	6.86E-01	1.29E-04	1.01E-04	-1523.749	6.81E-01	1.16E+00	1.62	8	18056507
HCM3155	"AY408231,AY408232,AY408233"	7342	UBP1	Other transcription factor->Transcription factor	"Hematopoesis->Mesoderm development->Developmental processes;T-cell mediated immunity->Immunity and defense;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	8.52E-02	4.90E-01	8.52E-02	1.00E+00	2.76E-06	2.76E-03	1.00E+03	1.21E-04	1.21E-08	1.00E-04	42	19.5	0.94	20.44	8.33	1.7	10.03	0.15	0.09	6.01	0	6.25	1.47	0.36	1.83	0	0	0	0.42	0	0.74	0	0	0	0.05	0	0.05	5.65E-04	4.81E-01	5.30E+00	-2529.335	3.42E-01	1.23E-03	1.00E-04	-2534.636	3.41E-01	8.89E+00	1.18	3	36934882
HCM2710	"AY406896,AY406897,AY406898"			Molecular function unclassified	Biological process unclassified	8.62E-02	4.43E-01	8.62E-02	4.43E-01	1.02E-05	1.02E-02	1.00E+03	4.55E-08	4.55E-05	1.00E+03	48	8.51	2.71	11.22	7.31	4.97	12.28	1.32	2.07	4.33	0	7.72	1.42	0.21	1.63	0	0	0.6	0.22	0	2.4	0	0	0	0	0	0	2.48E-02	5.50E-02	1.93E+00	-854.3472	1.01E+00	1.00E-04	1.34E-04	-856.2741	1.00E+00	6.50E-01	1.26	2	29571324
HCM1045	"AY401901,AY401902,AY401903"	9963	SLC23A2	Other transporter->Transporter	"Nucleoside, nucleotide and nucleic acid transport->Transport;Nucleoside, nucleotide and nucleic acid transport->Nucleoside, nucleotide and nucleic acid metabolism"	8.72E-02	2.70E-01	8.72E-02	1.00E+00	1.11E-04	5.91E-03	5.32E+01	3.67E-03	1.42E-03	3.87E-01	48	21.94	1.92	23.86	1.84	0.71	2.55	0.46	0	1.41	0.09	1.96	1.21	0.4	1.61	0	0	0	0.18	0	0.41	0	0	0	0	0	0	8.65E-03	3.29E-01	2.83E+00	-1801.087	5.49E-01	2.58E-04	1.00E-04	-1803.92	5.47E-01	2.27E+00	0.34	5	141776918
HCM3842	"AY410292,AY410293,AY410294"	2954	GSTZ1	Other transferase->Transferase	Amino acid catabolism->Amino acid metabolism	9.06E-02	2.13E-01	9.06E-02	2.13E-01	7.24E-06	7.24E-03	1.00E+03	2.47E-06	2.47E-03	1.00E+03	45	13.7	3.42	17.12	9.07	2.87	11.94	0.82	4.04	0.88	0	5.74	2.12	0.33	2.45	0	0	0.1	0.12	0	0.51	0	0	0	0	0	0	9.04E-04	1.00E+00	4.87E+00	-1066.758	6.61E-01	2.89E-04	1.00E-04	-1071.626	6.55E-01	2.45E+00	1.24	14	58108015
HCM0194	"AY399348,AY399349,AY399350"	221477		Molecular function unclassified	Biological process unclassified	9.07E-02	2.73E-01	9.07E-02	1.00E+00	7.69E-06	4.37E-05	5.68E+00	1.10E-02	2.78E-03	2.53E-01	44	15.79	4.23	20.02	9.85	4.37	14.22	1.64	0.57	3.64	0	5.85	1.57	1.11	2.68	0	0	0	0.75	0	0.29	0	0	0	0	0	0	1.00E+00	1.00E+00	-7.80E-04	-1902.647	5.88E-01	1.00E+03	5.68E+02	-1902.646	5.88E-01	1.77E+00	0.77	6	38415437
HCM4210	"AY411396,AY411397,AY411398"	1390	CREM	CREB transcription factor->Transcription factor	"mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	9.10E-02	4.89E-01	9.10E-02	1.00E+00	5.29E-06	5.29E-03	1.00E+03	1.26E-04	1.26E-08	1.00E-04	40	20.58	1.9	22.48	3.9	4.07	7.97	0.91	0	0	0	0.91	2.33	1.86	4.19	0.16	0	0	0.64	0	1.19	0	0	0	0.06	0	0.06	1.46E-02	1.00E+00	2.38E+00	-1298.199	2.58E-01	1.18E-04	1.00E-04	-1300.574	2.57E-01	9.44E-01	0.37	10	36285950
HCM0690	"AY400836,AY400837,AY400838"			Molecular function unclassified	Biological process unclassified	9.11E-02	1.05E-01	9.11E-02	1.05E-01	1.34E-05	1.34E-02	1.00E+03	1.21E-05	1.21E-02	1.00E+03	36	6.76	1.79	8.55	7.58	0.85	8.43	4.99	1.96	0	0	6.95	0.84	1.32	2.16	0	0	0	0.53	0	0.95	0	0	0	0	0	0	5.81E-02	3.25E-01	1.23E+00	-448.6056	7.94E-01	1.00E-04	1.92E-04	-449.84	7.73E-01	4.34E-01	1.34	21	16859111
HCM2296	"AY405654,AY405655,AY405656"	696	BTN1A1	Other receptor->Receptor	"Lactation, mammary development->Mesoderm development->Developmental processes"	9.45E-02	2.22E-01	9.45E-02	2.22E-01	3.62E-06	3.62E-03	1.00E+03	1.58E-06	1.37E-03	8.67E+02	44	17.22	1.01	18.23	4.72	2.65	7.37	2.26	1.69	4.76	0	8.71	2.34	0.32	2.66	0	0	0	0.17	0	0.91	0	0	0	0.1	0.56	0.66	7.55E-02	3.11E-01	1.03E+00	-2256.132	8.81E-01	1.00E-04	1.00E-04	-2257.163	8.40E-01	9.31E-01	0.55	6	26518847
HCM4067	"AY410967,AY410968,AY410969"	79958		Molecular function unclassified	Biological process unclassified	9.48E-02	1.23E-02	9.48E-02	1.00E+00	1.05E-04	6.80E-03	6.48E+01	1.71E-02	2.94E-03	1.72E-01	53	39.55	2.27	41.82	0.5	1.26	1.76	3.25	0.48	1.43	0	5.16	0.67	0	0.67	0	0	0	0.99	0	1.66	0	0	0	0	0	0	2.25E-03	1.14E-01	4.03E+00	-3903.426	1.33E+00	1.57E-04	1.00E-04	-3907.46	1.31E+00	1.44E+00	2.29	19	6294967
HCM3486	"AY409224,AY409225,AY409226"	55812	SPATA7	Molecular function unclassified	Biological process unclassified	9.50E-02	4.69E-02	9.50E-02	4.69E-02	2.77E-06	2.77E-03	1.00E+03	4.44E-06	4.44E-03	1.00E+03	38	7.04	1.82	8.86	22.57	1.91	24.48	2.35	0.52	2.55	0	5.42	1.07	0.2	1.27	0.07	0	0	0.49	0	0.37	0	0	0	0	0	0	1.58E-02	1.00E+00	2.31E+00	-3077.248	1.03E+00	1.00E-04	1.29E-04	-3079.56	1.03E+00	7.39E-01	2.07	14	69173811
HCM7630	"AY421656,AY421657,AY421658"	10421	CD2BP2	Molecular function unclassified	Immunity and defense	9.60E-02	4.78E-01	9.60E-02	4.78E-01	1.04E-04	4.26E-03	4.10E+01	3.96E-03	4.21E-03	1.06E+00	53	22.92	2.33	25.25	0.84	4.78	5.62	0.71	0	0	0	0.71	0.22	0	0.22	0	0	0.22	0.33	0	0.59	0	0	0	0	0	0	8.77E-04	4.64E-01	4.90E+00	-1724.051	5.29E-01	7.06E-04	1.00E-04	-1728.946	5.25E-01	5.48E+00	2.51	22	35737988
HCM0606	"AY400584,AY400585,AY400586"	54968		Molecular function unclassified	Biological process unclassified	9.62E-02	1.37E-01	9.62E-02	1.00E+00	1.06E-04	9.28E-03	8.75E+01	5.61E-03	5.62E-07	1.00E-04	42	25.88	1.27	27.15	9.06	3.82	12.88	4.44	0.64	3.32	0	8.4	0.82	0.66	1.48	0.26	0	0	0.44	0	0.64	0	0	0.09	0	0	0.09	5.66E-02	1.00E+00	1.25E+00	-1376.843	1.09E+00	1.00E-04	2.86E-04	-1378.097	1.09E+00	3.14E-01	0.95	8	72404246
HCM7469	"AY421173,AY421174,AY421175"	94009	SERHL	Other hydrolase->Hydrolase	Biological process unclassified	9.71E-02	2.43E-01	9.71E-02	2.43E-01	9.71E-05	8.60E-03	8.86E+01	1.20E-04	2.60E-03	2.17E+01	52	32.11	0.97	33.08	3.77	4.11	7.88	3.19	1.74	1.5	3.66	10.09	0.61	0.15	0.76	0	0	0	0.22	0	1.11	0	0	0	0.1	0	0.1	7.49E-03	1.00E+00	2.96E+00	-975.2866	9.50E-01	1.00E-04	1.00E-04	-978.2455	8.89E-01	8.10E-01	1.15	22	27004803
HCM1451	"AY403119,AY403120,AY403121"			Molecular function unclassified	"Bile acid metabolism->Steroid metabolism->Lipid, fatty acid and steroid metabolism"	9.89E-02	4.87E-01	9.89E-02	1.00E+00	1.15E-04	8.03E-03	6.98E+01	7.62E-03	7.33E-03	9.62E-01	40	6.73	2.34	9.07	6.02	2.66	8.68	6.17	1.25	2.27	2.12	11.81	1.18	0.56	1.74	0	0	0	0.48	0	0.31	0	0	0	0	0	0	1.61E-02	1.00E+00	2.30E+00	-1187.686	1.24E+00	1.00E-04	1.20E-04	-1189.982	1.21E+00	7.26E-01	0.94	9	77205040
HCM2319	"AY405723,AY405724,AY405725"		OR7G3	G-protein coupled receptor->Receptor	Olfaction->Chemosensory perception->Sensory perception;G-protein mediated signaling->Cell surface receptor mediated signal transduction->Signal transduction	9.96E-02	5.43E-02	9.96E-02	1.00E+00	8.95E-05	1.23E-02	1.37E+02	2.30E-02	6.10E-03	2.65E-01	45	35.7	0.5	36.2	9.31	2	11.31	1.64	0.23	3.84	0	5.71	1.5	0.19	1.69	0.07	0	0	1.18	0	1.52	0	0	0	0	0	0	1.24E-03	2.57E-01	4.58E+00	-1619.276	2.20E+00	4.42E-04	2.60E-04	-1623.852	2.13E+00	1.42E+00	1.56	19	9675031
HCM5959	"AY416643,AY416644,AY416645"	2299	FOXI1	Other transcription factor->Transcription factor	"Hearing->Sensory perception;mRNA transcription regulation->mRNA transcription->Nucleoside, nucleotide and nucleic acid metabolism"	9.97E-02	8.47E-02	9.97E-02	1.00E+00	1.08E-04	1.98E-02	1.83E+02	1.35E-02	1.35E-06	1.00E-04	46	3.35	7.14	10.49	10.59	4.52	15.11	4.63	2.98	1.18	0	8.79	3.01	0	3.01	0	0	0	0.6	0	0.84	0	0	0	0	0	0	2.87E-03	1.00E+00	3.81E+00	-683.9342	1.11E+00	2.64E-04	1.00E-04	-687.7488	1.07E+00	1.76E+00	2.33	5	172499718
HCM5423	"AY415035,AY415036,AY415037"			Microtubule binding motor protein->Microtubule family cytoskeletal protein->Cytoskeletal protein	Biological process unclassified	9.98E-02	1.76E-01	9.98E-02	1.76E-01	9.69E-06	9.69E-03	1.00E+03	5.09E-06	5.09E-03	1.00E+03	54	22.46	4.85	27.31	3.22	2.05	5.27	1.44	0	0.84	0	2.28	1.25	0.31	1.56	0	0	0	0.34	0	1.4	0	0	0	0	0	0	6.98E-02	1.00E+00	1.09E+00	-532.2269	3.22E-01	1.00E-04	2.29E-04	-533.3182	3.20E-01	3.33E-01	2.08	17	75122963
HCM6842	"AY419292,AY419293,AY419294"	50804		Other transcription factor->Transcription factor	Biological process unclassified	1.00E-01	2.30E-01	1.00E-01	2.30E-01	2.72E-06	2.72E-03	1.00E+03	9.07E-07	9.07E-04	1.00E+03	36	3.68	2.62	6.3	8.26	2.01	10.27	1.07	0.79	0.48	0	2.34	1.06	0	1.06	0	0	0	0.81	0	0.75	0	0	0	0	0	0	1.89E-03	1.00E+00	4.19E+00	-2420.18	3.62E-01	7.27E-04	1.00E-04	-2424.373	3.61E-01	5.87E+00	1.08	15	27725474
HCM3121	"AY408129,AY408130,AY408131"	56941		Molecular function unclassified	Biological process unclassified	1.01E-01	7.92E-02	1.01E-01	1.00E+00	1.21E-04	4.71E-03	3.89E+01	4.32E-03	4.32E-07	1.00E-04	49	15.67	1.96	17.63	6.25	1.46	7.71	1.86	0.58	0.46	0	2.9	0.82	0.78	1.6	0	0	0	0.19	0	1.16	0	0	0	0	0	0	1.24E-02	1.87E-01	2.52E+00	-1689.073	6.88E-01	2.16E-04	1.00E-04	-1691.594	6.85E-01	1.94E+00	0.93	3	132313910
HCM6428	"AY418050,AY418051,AY418052"	1836	SLC26A2	Other transporter->Transporter	Anion transport->Ion transport->Transport	1.03E-01	7.44E-02	1.03E-01	1.00E+00	2.09E-06	2.09E-03	1.00E+03	3.46E-03	5.41E-04	1.56E-01	43	18.13	4.86	22.99	6.7	4.39	11.09	0.52	0	1.1	0.91	2.53	1.55	0.21	1.76	0.12	0	0	0.38	0	0.74	0	0.09	0.09	0.13	0	0.31	1.41E-02	1.00E+00	2.41E+00	-4100.055	6.82E-01	1.35E-04	1.00E-04	-4102.461	6.80E-01	1.29E+00	1.79	5	152385689
