chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	blockCount	blockSizes	chromStarts	lrtAllPValue	lrtAllIsFdr	lrtPrimateBrPValue	lrtPrimateBrIsFdr	lrtPrimateClPValue	lrtPrimateClIsFdr	lrtRodentBrPValue	lrtRodentBrIsFdr	lrtRodentClPValue	lrtRodentClIsFdr	lrtHumanPValue	lrtHumanIsFdr	lrtChimpPValue	lrtChimpIsFdr	lrtHominidPValue	lrtHominidIsFdr	lrtMacaquePValue	lrtMacaqueIsFdr	bestHist	bestHistPP	nextBestHist	nextBestHistPP
chr16	31406356	31406695	vegaGene.OTTHUMT00000155224.1.inc	0	-	31406356	31406695	0	1	339,	0,	0.21375	0	2	0	2	0	2	0	2	0	0.437895	0	0.406583	0	2	0	2	0	0	0	0	0
chr16	4785736	4786233	vegaGene.OTTHUMT00000155207.1	0	+	4785736	4786233	0	3	124,86,42,	0,213,455,	1	0	2	0	1	0	2	0	0.498738	0	1	0	0.492666	0	1	0	1	0	0	0	0	0
chr16	33027247	33028207	vegaGene.OTTHUMT00000155204.1.inc	400	-	33027247	33028207	255	2	191,67,	0,893,	0.00942	0	2	0	2	0	2	0	2	0	0.152746	0	0.000105442	0	2	0	2	0	0	0	0	0
chr16	88564053	88564347	vegaGene.OTTHUMT00000155198.1.inc	0	-	88564053	88564347	0	1	294,	0,	0.24837	0	2	0	2	0	2	0	2	0	0.352514	0	0.498618	0	2	0	2	0	0	0	0	0
chr16	84627178	84627448	vegaGene.OTTHUMT00000155185.1.inc	400	+	84627178	84627448	255	1	270,	0,	0.02386	0	2	0	2	0	2	0	2	0	1	0	0.0390896	0	2	0	2	0	0	0	0	0
chr16	80055374	80055518	vegaGene.OTTHUMT00000155184.1.inc	0	-	80055374	80055518	0	1	144,	0,	0.23546	0	2	0	2	0	2	0	2	0	0.483354	0	1	0	2	0	2	0	0	0	0	0
chr16	78312900	78349057	vegaGene.OTTHUMT00000155182.1.inc	0	-	78312900	78349057	0	4	119,91,63,9,	0,18644,29711,36148,	1	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr16	27321992	27368105	vegaGene.OTTHUMT00000155161.1	0	+	27321992	27368105	0	9	50,65,103,200,155,178,100,82,750,	0,26885,31176,34317,39791,41371,42006,42836,45363,	0.05742	0	2	0	2	0	2	0	2	0	1	0	0.440374	0	2	0	2	0	0	0	0	0
chr16	11752673	11759803	vegaGene.OTTHUMT00000155141.1	0	-	11752673	11759803	0	4	190,164,134,16,	0,1352,4920,7114,	1	0	1	0	0.454166	0	1	0	1	0	1	0	0.490067	0	0.476929	0	1	0	0	0	0	0
chr16	25611683	26055070	vegaGene.OTTHUMT00000155126.1	0	+	25611683	26055070	0	2	290,637,	0,442750,	1	0	0.488127	0	1	0	2	0	2	0	1	0	0.494056	0	1	0	0.489208	0	0	0	0	0
chr16	27383322	27457033	vegaGene.OTTHUMT00000155101.1.inc	0	-	27383322	27457033	0	32	336,281,260,288,173,94,63,113,82,143,158,189,82,136,142,178,97,98,146,282,185,104,154,137,218,310,116,153,124,97,144,32,	0,759,4790,5607,7247,11950,13968,16578,18543,19710,21496,23726,24053,24542,25101,27837,28116,28698,30262,30710,33136,34129,36690,38358,41398,42346,44039,47248,64097,68790,73283,73679,	0.40776	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr16	73068838	73198493	vegaGene.OTTHUMT00000155074.1	400	-	73068838	73198493	255	7	94,34,16,216,87,33,438,	0,2801,19189,26091,31399,54681,129217,	0.18208	0	0.496215	0	1	0	1	0	0.0687305	0	1	0	1	0	0.0486943	0	1	0	0	0	0	0
chr16	23405585	23429167	vegaGene.OTTHUMT00000155070.1.inc	0	-	23405585	23429167	0	7	27,104,124,99,76,85,25,	0,1842,4913,6596,7539,8930,23557,	1	0	0.493137	0	1	0	0.49411	0	0.498307	0	1	0	1	0	1	0	0.497815	0	0	0	0	0
chr16	1974460	1976030	vegaGene.OTTHUMT00000155067.1	0	+	1974460	1976030	0	3	18,197,163,	0,288,1407,	1	0	0.122249	0	1	0	1	0	0.493769	0	1	0	0.256552	0	0.492142	0	1	0	0	0	0	0
chr16	21152559	21169642	vegaGene.OTTHUMT00000155022.1	400	+	21152559	21169642	255	2	164,1090,	0,15993,	1	0	1	0	0.0114695	0	2	0	2	0	0.448256	0	1	0	1	0	0.0336153	0	0	0	0	0
chr16	65592075	65596322	vegaGene.OTTHUMT00000155019.1	400	+	65592075	65596322	255	8	108,134,154,105,105,39,141,126,	0,185,636,2398,2584,2843,3412,4121,	0.00294	0	2	0	2	0	2	0	0.0802637	0	2	0	2	0	2	0	2	0	0	0	0	0
chr16	73266787	73282773	vegaGene.OTTHUMT00000155003.1.inc	400	-	73266787	73282773	255	6	16,152,82,136,98,98,	0,224,3510,7262,10097,15888,	0.00231	0	2	0	0.0885289	0	2	0	0.416061	0	0.499202	0	0.242726	0	0.0521781	0	0.148669	0	0	0	0	0
chr16	30443338	30445235	vegaGene.OTTHUMT00000154980.1	0	-	30443338	30445235	0	2	1535,88,	0,1809,	1	0	1	0	1	0	2	0	2	0	2	0	2	0	2	0	1	0	0	0	0	0
chr16	85132860	85145805	vegaGene.OTTHUMT00000154925.1.inc	0	-	85132860	85145805	0	6	69,113,91,114,114,54,	0,347,4805,6710,10279,12891,	1	0	1	0	1	0	2	0	2	0	0.484739	0	1	0	1	0	1	0	0	0	0	0
chr16	30583739	30588467	vegaGene.OTTHUMT00000154893.1	0	+	30583739	30588467	0	11	3,45,96,69,30,72,118,81,84,208,577,	0,117,388,720,1594,2001,2402,2624,3642,3854,4151,	1	0	1	0	1	0	2	0	2	0	0.498872	0	0.496759	0	1	0	1	0	0	0	0	0
chr16	2218411	2224761	vegaGene.OTTHUMT00000154873.1.inc	0	+	2218411	2224761	0	10	114,106,194,121,153,173,210,109,218,177,	0,1160,3761,4046,4346,4601,5028,5472,5761,6173,	1	0	0.37511	0	0.18318	0	2	0	2	0	2	0	2	0	2	0	1	0	0	0	0	0
chr16	1817297	1817846	vegaGene.OTTHUMT00000154824.1.inc	400	+	1817297	1817846	255	1	549,	0,	1	0	1	0	0.41006	0	0.00110562	0	1	0	1	0	0.496477	0	1	0	0.479511	0	0	0	0	0
chr16	10930565	10943006	vegaGene.OTTHUMT00000154806.1	1000	-	10930565	10943006	16711680	2	352,80,	0,12361,	0.00114	1	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	501	0.14	366	0.1
chr16	3726061	3729686	vegaGene.OTTHUMT00000154779.1.inc	0	-	3726061	3729686	0	3	144,166,107,	0,590,3518,	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0.491389	0	0	0	0	0
chr16	76614057	76622179	vegaGene.OTTHUMT00000154732.1.inc	0	+	76614057	76622179	0	3	82,84,335,	0,5447,7787,	0.13017	0	1	0	1	0	1	0	1	0	0.49126	0	1	0	1	0	0.499436	0	0	0	0	0
chr16	65523606	65525768	vegaGene.OTTHUMT00000154685.1	0	-	65523606	65525768	0	5	98,46,126,80,142,	0,577,1411,1784,2020,	1	0	2	0	0.493794	0	0.492775	0	1	0	1	0	0.496174	0	2	0	2	0	0	0	0	0
chr16	88280676	88287225	vegaGene.OTTHUMT00000154670.1.inc	0	+	88280676	88287225	0	7	30,73,72,103,82,68,43,	0,2484,3785,4675,5038,5681,6506,	1	0	1	0	0.496174	0	1	0	0.278837	0	1	0	0.49395	0	1	0	0.489893	0	0	0	0	0
chr16	74946783	75150081	vegaGene.OTTHUMT00000154631.1	0	+	74946783	75150081	0	22	126,148,204,185,144,262,150,172,107,120,198,157,128,171,219,240,225,134,88,219,72,194,	0,72066,92626,93381,94329,97122,106570,111966,120553,124033,134300,139524,143181,165754,166653,180159,182730,184333,185317,197897,198450,203104,	1	0	0.290917	0	1	0	2	0	2	0	1	0	1	0	0.47999	0	1	0	0	0	0	0
chr16	20556181	20590445	vegaGene.OTTHUMT00000154594.1	700	-	20556181	20590445	8388736	5	93,124,80,160,92,	0,3102,24435,32468,34172,	0.04761	0	2	0	0.00247394	0	2	0	2	0	1	0	0.294712	0	1.75596e-05	1	0.0581014	0	3	0.63	18	0.12
chr16	3572343	3584565	vegaGene.OTTHUMT00000154592.1	0	-	3572343	3584565	0	6	352,414,103,2309,167,111,	0,755,2427,6660,10357,12111,	1	0	2	0	2	0	2	0	2	0	0.280467	0	0.429527	0	2	0	2	0	0	0	0	0
chr16	86566222	86667768	vegaGene.OTTHUMT00000154564.1	0	+	86566222	86667768	0	11	70,92,200,176,240,168,137,63,39,144,72,	0,5920,8944,30974,43312,52367,57993,60216,62857,96953,101474,	1	0	0.311268	0	0.472234	0	1	0	0.499202	0	0.498872	0	1	0	0.456317	0	1	0	0	0	0	0
chr16	279574	336912	vegaGene.OTTHUMT00000154560.1.inc	0	-	279574	336912	0	8	34,231,171,530,138,97,141,764,	0,3914,7482,8148,14730,20399,24969,56574,	1	0	1	0	1	0	2	0	2	0	2	0	2	0	2	0	0.495932	0	0	0	0	0
chr16	87876130	87878101	vegaGene.OTTHUMT00000154535.1.inc	0	-	87876130	87878101	0	1	1971,	0,	1	0	2	0	0.470376	0	2	0	1	0	0.484604	0	0.485151	0	1	0	0.496522	0	0	0	0	0
chr16	29972315	29982664	vegaGene.OTTHUMT00000154520.1	0	+	29972315	29982664	0	4	6,144,156,114,	0,1290,1678,10235,	1	0	0.456039	0	1	0	1	0	0.235939	0	2	0	2	0	2	0	0.476031	0	0	0	0	0
chr16	16151568	16159119	vegaGene.OTTHUMT00000154500.1.inc	400	-	16151568	16159119	255	5	31,195,167,159,99,	0,367,4417,4662,7452,	0.04838	0	2	0	1	0	2	0	2	0	1	0	0.491279	0	2	0	2	0	0	0	0	0
chr19	19437154	19477283	vegaGene.OTTHUMT00000152783.1	0	+	19437154	19477283	0	11	269,133,132,90,132,168,280,296,75,196,131,	0,26960,27235,28948,30408,30706,33097,35775,36623,36985,39998,	0.30316	0	2	0	0.490245	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr19	11739008	11753721	vegaGene.OTTHUMT00000152762.1	400	+	11739008	11753721	255	4	3,127,64,1888,	0,10417,11136,12825,	0.04823	0	2	0	2	0	2	0	2	0	1	0	1	0	2	0	2	0	0	0	0	0
chr19	41793399	41810292	vegaGene.OTTHUMT00000152742.1	0	+	41793399	41810292	0	2	85,1421,	0,15472,	1	0	1	0	1	0	0.487063	0	0.114153	0	2	0	2	0	2	0	0.475998	0	0	0	0	0
chr19	63410364	63416321	vegaGene.OTTHUMT00000152711.1	0	+	63410364	63416321	0	4	16,113,127,983,	0,2774,4373,4974,	1	0	2	0	0.438915	0	2	0	2	0	1	0	0.485608	0	0.461088	0	0.497966	0	0	0	0	0
chr19	22047543	22064084	vegaGene.OTTHUMT00000152703.1	400	+	22047543	22064084	255	3	34,96,1466,	0,567,15075,	0.03499	0	2	0	2	0	2	0	2	0	0.498738	0	1	0	2	0	2	0	0	0	0	0
chr19	63266646	63271641	vegaGene.OTTHUMT00000152660.1	400	+	63266646	63271641	255	2	75,1362,	0,3633,	0.23443	0	2	0	0.498129	0	2	0	2	0	0.495854	0	0.496387	0	0.00657289	0	1	0	0	0	0	0
chr19	44589366	44591179	vegaGene.OTTHUMT00000152651.1	400	+	44589366	44591179	255	2	42,957,	0,856,	0.03265	0	2	0	1	0	2	0	1	0	1	0	1	0	2	0	2	0	0	0	0	0
chr19	15396538	15411943	vegaGene.OTTHUMT00000152637.1.inc	0	-	15396538	15411943	0	6	305,528,552,504,324,1555,	0,513,2254,4858,12078,13850,	1	0	2	0	2	0	1	0	1	0	2	0	2	0	2	0	2	0	0	0	0	0
chr19	4880257	4905472	vegaGene.OTTHUMT00000152617.1.inc	400	+	4880257	4905472	255	12	231,161,216,101,187,124,108,105,107,163,138,111,	0,1470,3495,12282,12499,14886,15097,16615,17859,21365,21613,25104,	1	0	0.0210316	0	1	0	0.296782	0	0.125996	0	1	0	0.494738	0	1	0	0.444744	0	0	0	0	0
chr19	16525489	16544175	vegaGene.OTTHUMT00000152470.1	400	-	16525489	16544175	255	6	231,246,126,138,71,421,	0,1473,12853,14353,17833,18265,	1	0	0.491805	0	1	0	0.0031661	0	0.492558	0	1	0	0.492203	0	0.452813	0	1	0	0	0	0	0
chr19	11479369	11490898	vegaGene.OTTHUMT00000152462.1.inc	400	-	11479369	11490898	255	5	8,58,224,418,9,	0,436,5501,6249,11520,	1	0	0.000646513	0	1	0	0.0225287	0	1	0	2	0	2	0	2	0	1	0	0	0	0	0
chr19	5574216	5619302	vegaGene.OTTHUMT00000152397.1	0	+	5574216	5619302	0	21	189,85,65,207,63,28,511,50,95,150,83,140,89,107,288,138,43,119,104,67,130,	0,3199,18388,18534,22131,24810,25783,26720,27772,29909,30132,30855,31162,34035,38315,40816,41191,43840,44141,44614,44956,	0.35637	0	2	0	1	0	2	0	2	0	2	0	2	0	2	0	0.441592	0	0	0	0	0
chr19	50207044	50232714	vegaGene.OTTHUMT00000152351.1.inc	0	+	50207044	50232714	0	9	330,158,92,132,105,216,69,78,212,	0,10106,13382,13659,16941,20587,22297,22504,25458,	1	0	1	0	1	0	2	0	2	0	1	0	1	0	1	0	1	0	0	0	0	0
chr19	43557081	43565870	vegaGene.OTTHUMT00000152293.1	400	+	43557081	43565870	255	7	360,73,103,166,101,112,138,	0,1558,1750,4638,6297,7515,8651,	1	0	2	0	2	0	0.0350154	0	0.0130659	0	2	0	2	0	2	0	2	0	0	0	0	0
chr19	59290381	59295886	vegaGene.OTTHUMT00000152155.1.inc	0	-	59290381	59295886	0	5	53,282,303,33,28,	0,567,1579,4469,5477,	0.05111	0	2	0	2	0	0.116917	0	0.324424	0	2	0	2	0	2	0	2	0	0	0	0	0
chr19	14913393	14914164	vegaGene.OTTHUMT00000152153.1.inc	400	+	14913393	14914164	255	1	771,	0,	0.00425	0	2	0	2	0	2	0	2	0	0.488718	0	1	0	2	0	2	0	0	0	0	0
chr19	2220597	2222444	vegaGene.OTTHUMT00000152142.1	0	+	2220597	2222444	0	2	146,61,	0,1786,	1	0	2	0	1	0	2	0	1	0	1	0	1	0	1	0	0.350992	0	0	0	0	0
chr19	12996810	13066463	vegaGene.OTTHUMT00000152114.1	0	+	12996810	13066463	0	10	556,63,75,121,137,123,176,148,92,15,	0,48050,48425,48909,50538,53616,56683,62992,65302,69638,	1	0	0.493397	0	1	0	1	0	1	0	2	0	2	0	2	0	0.496432	0	0	0	0	0
chr19	60197392	60204021	vegaGene.OTTHUMT00000152096.1.inc	0	+	60197392	60204021	0	3	227,171,82,	0,3104,6547,	0.05914	0	2	0	2	0	2	0	2	0	0.319281	0	0.499023	0	2	0	2	0	0	0	0	0
chr19	15371108	15390734	vegaGene.OTTHUMT00000152086.1	400	-	15371108	15390734	255	9	113,64,71,97,454,241,33,75,13,	0,997,1496,1649,1852,4177,4712,11222,19613,	0.034	0	0.0264049	0	0.493769	0	0.485831	0	1	0	1	0	1	0	1	0	0.468645	0	0	0	0	0
chr19	40915227	40921298	vegaGene.OTTHUMT00000152062.1	0	+	40915227	40921298	0	10	1022,90,110,138,75,178,108,84,130,276,	0,1110,1276,4203,4425,4599,5149,5372,5575,5795,	1	0	2	0	1	0	2	0	0.473122	0	1	0	1	0	2	0	2	0	0	0	0	0
chr19	1201448	1208118	vegaGene.OTTHUMT00000152058.1.inc	0	+	1201448	1208118	0	8	80,88,63,129,312,160,273,125,	0,1112,1389,3504,3717,4452,4972,6545,	1	0	1	0	1	0	0.316949	0	0.499436	0	2	0	2	0	2	0	1	0	0	0	0	0
chr19	57067740	57073496	vegaGene.OTTHUMT00000152036.1.inc	0	-	57067740	57073496	0	3	1031,96,43,	0,4606,5713,	0.08347	0	2	0	1	0	2	0	2	0	1	0	1	0	1	0	0.116219	0	0	0	0	0
chr19	5708892	5729567	vegaGene.OTTHUMT00000152019.1.inc	1000	+	5708892	5729567	16711680	9	51,59,79,53,75,129,178,155,181,	0,1204,5333,8221,10286,13062,14906,18279,20494,	2.75528e-09	1	2	0	2	0	2	0	0.019396	0	2	0	2	0	2	0	2	0	505	0.27	504	0.16
chr19	55064985	55071724	vegaGene.OTTHUMT00000151997.1	0	-	55064985	55071724	0	5	144,170,78,386,53,	0,1630,1895,3000,6686,	1	0	1	0	0.487901	0	0.478825	0	1	0	0.494358	0	1	0	0.477835	0	1	0	0	0	0	0
chr19	18853416	18853548	vegaGene.OTTHUMT00000151938.1	0	-	18853416	18853548	0	1	132,	0,	0.1234	0	2	0	2	0	2	0	2	0	0.371151	0	0.327583	0	2	0	2	0	0	0	0	0
chr19	17235806	17236108	vegaGene.OTTHUMT00000151912.1	0	-	17235806	17236108	0	2	153,54,	0,248,	0.37421	0	1	0	0.497354	0	0.199373	0	0.487462	0	1	0	0.49528	0	1	0	1	0	0	0	0	0
chr19	458470	470423	vegaGene.OTTHUMT00000151868.1	400	+	458470	470423	255	2	374,535,	0,11418,	0.01087	0	2	0	2	0	0.0125477	0	1	0	2	0	2	0	2	0	2	0	0	0	0	0
chr19	58546097	58548371	vegaGene.OTTHUMT00000151867.1.inc	0	+	58546097	58548371	0	1	2274,	0,	0.16983	0	2	0	2	0	2	0	2	0	1	0	0.334781	0	2	0	2	0	0	0	0	0
chr19	12117219	12119512	vegaGene.OTTHUMT00000151860.1.inc	0	-	12117219	12119512	0	3	818,34,18,	0,2017,2275,	1	0	2	0	2	0	2	0	2	0	1	0	0.139358	0	2	0	2	0	0	0	0	0
chr19	12362471	12364421	vegaGene.OTTHUMT00000151858.1.inc	0	-	12362471	12364421	0	2	1549,5,	0,1945,	0.08496	0	2	0	2	0	2	0	2	0	0.198266	0	0.496759	0	2	0	2	0	0	0	0	0
chr19	2241173	2242598	vegaGene.OTTHUMT00000151816.1.inc	400	-	2241173	2242598	255	1	1425,	0,	1	0	0.0204952	0	0.493743	0	0.36955	0	0.0167953	0	1	0	0.480718	0	2	0	0.488831	0	0	0	0	0
